Symbol,Date,Open,High,Low,Close,Volume
AACG,02-Jan-2023,1.2733,1.2733,1.2733,1.2733,0
AACI,02-Jan-2023,10.12,10.12,10.12,10.12,0
AACIU,02-Jan-2023,10.12,10.12,10.12,10.12,0
AACIW,02-Jan-2023,0.031,0.031,0.031,0.031,0
AADI,02-Jan-2023,12.83,12.83,12.83,12.83,0
AADR,02-Jan-2023,47.76,47.76,47.76,47.76,0
AAL,02-Jan-2023,12.72,12.72,12.72,12.72,0
AAME,02-Jan-2023,2.341,2.341,2.341,2.341,0
AAOI,02-Jan-2023,1.89,1.89,1.89,1.89,0
AAON,02-Jan-2023,75.32,75.32,75.32,75.32,0
AAPB,02-Jan-2023,15.38,15.38,15.38,15.38,0
AAPD,02-Jan-2023,30.23,30.23,30.23,30.23,0
AAPL,02-Jan-2023,129.93,129.93,129.93,129.93,0
AAPU,02-Jan-2023,16.65,16.65,16.65,16.65,0
AAWW,02-Jan-2023,100.8,100.8,100.8,100.8,0
AAXJ,02-Jan-2023,64.79,64.79,64.79,64.79,0
ABCB,02-Jan-2023,47.14,47.14,47.14,47.14,0
ABCL,02-Jan-2023,10.13,10.13,10.13,10.13,0
ABCM,02-Jan-2023,15.56,15.56,15.56,15.56,0
ABEO,02-Jan-2023,3.08,3.08,3.08,3.08,0
ABGI,02-Jan-2023,10.09,10.09,10.09,10.09,0
ABIO,02-Jan-2023,2.37,2.37,2.37,2.37,0
ABNB,02-Jan-2023,85.5,85.5,85.5,85.5,0
ABOS,02-Jan-2023,5.4,5.4,5.4,5.4,0
ABSI,02-Jan-2023,2.1,2.1,2.1,2.1,0
ABST,02-Jan-2023,10.44,10.44,10.44,10.44,0
ABUS,02-Jan-2023,2.33,2.33,2.33,2.33,0
ABVC,02-Jan-2023,0.625,0.625,0.625,0.625,0
ACAB,02-Jan-2023,10.19,10.19,10.19,10.19,0
ACABU,02-Jan-2023,10.18,10.18,10.18,10.18,0
ACABW,02-Jan-2023,0.065,0.065,0.065,0.065,0
ACAC,02-Jan-2023,10.22,10.22,10.22,10.22,0
ACACU,02-Jan-2023,10.2,10.2,10.2,10.2,0
ACAD,02-Jan-2023,15.92,15.92,15.92,15.92,0
ACAH,02-Jan-2023,10.015,10.015,10.015,10.015,0
ACAHU,02-Jan-2023,10.01,10.01,10.01,10.01,0
ACAHW,02-Jan-2023,0.05,0.05,0.05,0.05,0
ACAX,02-Jan-2023,10.05,10.05,10.05,10.05,0
ACB,02-Jan-2023,0.9226,0.9226,0.9226,0.9226,0
ACBA,02-Jan-2023,10.62,10.62,10.62,10.62,0
ACBAU,02-Jan-2023,10.39,10.39,10.39,10.39,0
ACBAW,02-Jan-2023,0.0311,0.0311,0.0311,0.0311,0
ACCD,02-Jan-2023,7.79,7.79,7.79,7.79,0
ACDC,02-Jan-2023,25.2,25.2,25.2,25.2,0
ACDCW,02-Jan-2023,0.0302,0.0302,0.0302,0.0302,0
ACER,02-Jan-2023,2.51,2.51,2.51,2.51,0
ACET,02-Jan-2023,8.94,8.94,8.94,8.94,0
ACGL,02-Jan-2023,62.78,62.78,62.78,62.78,0
ACGLN,02-Jan-2023,17.27,17.27,17.27,17.27,0
ACGLO,02-Jan-2023,20.3,20.3,20.3,20.3,0
ACHC,02-Jan-2023,82.32,82.32,82.32,82.32,0
ACHL,02-Jan-2023,0.9,0.9,0.9,0.9,0
ACHV,02-Jan-2023,2.45,2.45,2.45,2.45,0
ACIU,02-Jan-2023,2.04,2.04,2.04,2.04,0
ACIW,02-Jan-2023,23,23,23,23,0
ACLS,02-Jan-2023,79.36,79.36,79.36,79.36,0
ACLX,02-Jan-2023,30.98,30.98,30.98,30.98,0
ACMR,02-Jan-2023,7.71,7.71,7.71,7.71,0
ACNB,02-Jan-2023,39.81,39.81,39.81,39.81,0
ACNT,02-Jan-2023,8.67,8.67,8.67,8.67,0
ACON,02-Jan-2023,0.58,0.58,0.58,0.58,0
ACOR,02-Jan-2023,0.7667,0.7667,0.7667,0.7667,0
ACQR,02-Jan-2023,10.08,10.08,10.08,10.08,0
ACQRU,02-Jan-2023,10.06,10.06,10.06,10.06,0
ACQRW,02-Jan-2023,0.0061,0.0061,0.0061,0.0061,0
ACRS,02-Jan-2023,15.75,15.75,15.75,15.75,0
ACRV,02-Jan-2023,11.52,11.52,11.52,11.52,0
ACRX,02-Jan-2023,2.26,2.26,2.26,2.26,0
ACST,02-Jan-2023,0.501,0.501,0.501,0.501,0
ACT,02-Jan-2023,24.12,24.12,24.12,24.12,0
ACTG,02-Jan-2023,4.21,4.21,4.21,4.21,0
ACVA,02-Jan-2023,8.21,8.21,8.21,8.21,0
ACWI,02-Jan-2023,84.88,84.88,84.88,84.88,0
ACWX,02-Jan-2023,45.5,45.5,45.5,45.5,0
ACXP,02-Jan-2023,3.98,3.98,3.98,3.98,0
ADAG,02-Jan-2023,1.325,1.325,1.325,1.325,0
ADAL,02-Jan-2023,10.26,10.26,10.26,10.26,0
ADALU,02-Jan-2023,10.2,10.2,10.2,10.2,0
ADALW,02-Jan-2023,0.11,0.11,0.11,0.11,0
ADAP,02-Jan-2023,1.46,1.46,1.46,1.46,0
ADBE,02-Jan-2023,336.53,336.53,336.53,336.53,0
ADD,02-Jan-2023,0.9106,0.9106,0.9106,0.9106,0
ADEA,02-Jan-2023,9.48,9.48,9.48,9.48,0
ADER,02-Jan-2023,10.135,10.135,10.135,10.135,0
ADERU,02-Jan-2023,10.21,10.21,10.21,10.21,0
ADERW,02-Jan-2023,0.28,0.28,0.28,0.28,0
ADES,02-Jan-2023,2.43,2.43,2.43,2.43,0
ADI,02-Jan-2023,164.03,164.03,164.03,164.03,0
ADIL,02-Jan-2023,0.215,0.215,0.215,0.215,0
ADILW,02-Jan-2023,0.025,0.025,0.025,0.025,0
ADMA,02-Jan-2023,3.88,3.88,3.88,3.88,0
ADMP,02-Jan-2023,0.1693,0.1693,0.1693,0.1693,0
ADN,02-Jan-2023,1.81,1.81,1.81,1.81,0
ADNWW,02-Jan-2023,0.1583,0.1583,0.1583,0.1583,0
ADOC,02-Jan-2023,10.4999,10.4999,10.4999,10.4999,0
ADOCR,02-Jan-2023,0.0899,0.0899,0.0899,0.0899,0
ADP,02-Jan-2023,238.86,238.86,238.86,238.86,0
ADPT,02-Jan-2023,7.64,7.64,7.64,7.64,0
ADRE,02-Jan-2023,37.4,37.4,37.4,37.4,0
ADSE,02-Jan-2023,3.12,3.12,3.12,3.12,0
ADSEW,02-Jan-2023,0.2046,0.2046,0.2046,0.2046,0
ADSK,02-Jan-2023,186.87,186.87,186.87,186.87,0
ADTH,02-Jan-2023,1.66,1.66,1.66,1.66,0
ADTHW,02-Jan-2023,0.1,0.1,0.1,0.1,0
ADTN,02-Jan-2023,18.79,18.79,18.79,18.79,0
ADTX,02-Jan-2023,1.1546,1.1546,1.1546,1.1546,0
ADUS,02-Jan-2023,99.49,99.49,99.49,99.49,0
ADV,02-Jan-2023,2.08,2.08,2.08,2.08,0
ADVM,02-Jan-2023,0.5795,0.5795,0.5795,0.5795,0
ADVWW,02-Jan-2023,0.1275,0.1275,0.1275,0.1275,0
ADXN,02-Jan-2023,0.6301,0.6301,0.6301,0.6301,0
AEAC,02-Jan-2023,10.11,10.11,10.11,10.11,0
AEACU,02-Jan-2023,10.1,10.1,10.1,10.1,0
AEACW,02-Jan-2023,0.0035,0.0035,0.0035,0.0035,0
AEAE,02-Jan-2023,10.17,10.17,10.17,10.17,0
AEAEU,02-Jan-2023,10.2,10.2,10.2,10.2,0
AEAEW,02-Jan-2023,0.103,0.103,0.103,0.103,0
AEHA,02-Jan-2023,10.4,10.4,10.4,10.4,0
AEHAW,02-Jan-2023,0.15,0.15,0.15,0.15,0
AEHL,02-Jan-2023,0.59,0.59,0.59,0.59,0
AEHR,02-Jan-2023,20.1,20.1,20.1,20.1,0
AEI,02-Jan-2023,2.3,2.3,2.3,2.3,0
AEIS,02-Jan-2023,85.78,85.78,85.78,85.78,0
AEMD,02-Jan-2023,0.2754,0.2754,0.2754,0.2754,0
AEP,02-Jan-2023,94.95,94.95,94.95,94.95,0
AEPPZ,02-Jan-2023,51.58,51.58,51.58,51.58,0
AERC,02-Jan-2023,3.13,3.13,3.13,3.13,0
AEY,02-Jan-2023,1.45,1.45,1.45,1.45,0
AEYE,02-Jan-2023,3.83,3.83,3.83,3.83,0
AEZS,02-Jan-2023,3.18,3.18,3.18,3.18,0
AFAR,02-Jan-2023,10.255,10.255,10.255,10.255,0
AFARU,02-Jan-2023,10.23,10.23,10.23,10.23,0
AFARW,02-Jan-2023,0.0326,0.0326,0.0326,0.0326,0
AFBI,02-Jan-2023,15.1,15.1,15.1,15.1,0
