Symbol,Date,Open,High,Low,Close,Volume
AACG,03-Jan-2023,1.22,1.3,1.22,1.26,6900
AACI,03-Jan-2023,10.12,10.14,10.12,10.13,15700
AACIU,03-Jan-2023,10.12,10.12,10.12,10.12,0
AACIW,03-Jan-2023,0.05,0.05,0.0499,0.0499,800
AADI,03-Jan-2023,12.91,13.09,12.27,12.31,75600
AADR,03-Jan-2023,47.84,47.84,47.14,47.19,3100
AAL,03-Jan-2023,12.91,13,12.525,12.74,21865000
AAME,03-Jan-2023,2.1,2.42,2.1,2.42,11100
AAOI,03-Jan-2023,1.94,1.99,1.86,1.88,133300
AAON,03-Jan-2023,75.96,76.48,74,74.83,158500
AAPB,03-Jan-2023,14.94,14.94,14.25,14.44,32600
AAPD,03-Jan-2023,30.11,31.59,30.0783,31.4,473400
AAPL,03-Jan-2023,130.28,130.9,124.17,125.07,112117400
AAPU,03-Jan-2023,16.76,16.7996,15.55,15.73,194500
AAWW,03-Jan-2023,100.87,101.2799,100.87,101.25,306900
AAXJ,03-Jan-2023,65.78,66.26,65.42,65.67,654200
ABCB,03-Jan-2023,47.35,48.7725,45.86,46.3,301000
ABCL,03-Jan-2023,10.3,10.37,9.47,9.49,1799500
ABCM,03-Jan-2023,15.86,16.31,15.24,15.61,528900
ABEO,03-Jan-2023,3.09,3.15,2.83,2.86,115300
ABGI,03-Jan-2023,10.09,10.09,10.09,10.09,3000
ABIO,03-Jan-2023,2.4,2.43,2.3001,2.42,37700
ABNB,03-Jan-2023,87.39,88.14,84.3,84.9,3901100
ABOS,03-Jan-2023,5.13,5.63,5.02,5.26,72300
ABSI,03-Jan-2023,2.2,2.675,2.2,2.26,954400
ABST,03-Jan-2023,10.56,10.86,10.38,10.75,114800
ABUS,03-Jan-2023,2.35,2.4,2.215,2.23,719800
ABVC,03-Jan-2023,0.6,0.62,0.6,0.6,47600
ACAB,03-Jan-2023,10.18,10.2,10.18,10.2,2300
ACABU,03-Jan-2023,10.18,10.18,10.18,10.18,0
ACABW,03-Jan-2023,0.044,0.044,0.044,0.044,200
ACAC,03-Jan-2023,10.22,10.22,10.22,10.22,120400
ACACU,03-Jan-2023,10.26,10.35,10.21,10.25,13100
ACAD,03-Jan-2023,16.55,16.7,15.77,16.32,1030200
ACAH,03-Jan-2023,10.02,10.02,10.01,10.02,59200
ACAHU,03-Jan-2023,10.02,10.02,10.02,10.02,2100
ACAHW,03-Jan-2023,0.06,0.0632,0.06,0.0632,300
ACAX,03-Jan-2023,10.02,10.02,10.02,10.02,500
ACB,03-Jan-2023,0.94,0.9688,0.89,0.9074,5205800
ACBA,03-Jan-2023,10.89,10.89,10.62,10.65,425200
ACBAU,03-Jan-2023,11,11.89,10.7,10.72,5600
ACBAW,03-Jan-2023,0.0311,0.0311,0.0311,0.0311,0
ACCD,03-Jan-2023,8.08,8.11,7.225,7.32,692900
ACDC,03-Jan-2023,25.43,25.44,21,21.4,809000
ACDCW,03-Jan-2023,0.0397,0.0397,0.03,0.03,6100
ACER,03-Jan-2023,2.55,2.6899,2.53,2.62,477900
ACET,03-Jan-2023,9.03,9.25,8.4,8.57,464100
ACGL,03-Jan-2023,62.61,62.74,61.85,62.46,1492800
ACGLN,03-Jan-2023,17.69,17.69,17.3,17.69,187900
ACGLO,03-Jan-2023,20.5111,21.3699,20.32,20.52,33500
ACHC,03-Jan-2023,82.98,83.07,80.49,81.48,305400
ACHL,03-Jan-2023,0.96,1.06,0.92,1.05,2368600
ACHV,03-Jan-2023,2.49,2.68,2.46,2.53,81200
ACIU,03-Jan-2023,2.1,2.21,2.0427,2.21,162100
ACIW,03-Jan-2023,23.21,23.42,22.825,23.03,748700
ACLS,03-Jan-2023,80.68,81.28,76.97,78.2,375500
ACLX,03-Jan-2023,31.11,33.32,30.78,31.03,676100
ACMR,03-Jan-2023,9.79,10.5,9.35,9.6,3634600
ACNB,03-Jan-2023,39.5,39.76,38.19,38.52,4600
ACNT,03-Jan-2023,8.86,9.11,8.71,9.01,19800
ACON,03-Jan-2023,0.62,0.6399,0.55,0.57,6600
ACOR,03-Jan-2023,0.7777,0.79,0.6871,0.785,209600
ACQR,03-Jan-2023,10.08,10.09,10.08,10.09,125100
ACQRU,03-Jan-2023,10.4,10.4,10.4,10.4,2400
ACQRW,03-Jan-2023,0.0077,0.0077,0.0071,0.0077,800
ACRS,03-Jan-2023,15.93,16.53,14.89,15.07,362100
ACRV,03-Jan-2023,11.95,12.18,11.52,11.57,6900
ACRX,03-Jan-2023,2.3,2.37,2.15,2.22,219700
ACST,03-Jan-2023,0.5041,0.53,0.5026,0.5027,233000
ACT,03-Jan-2023,24.24,24.45,23.765,24.19,251400
ACTG,03-Jan-2023,4.22,4.22,3.92,3.99,316000
ACVA,03-Jan-2023,8.36,8.55,7.85,7.93,865100
ACWI,03-Jan-2023,85.51,86.02,84.395,84.9,13271900
ACWX,03-Jan-2023,45.95,46.3,45.67,45.8,3331200
ACXP,03-Jan-2023,3.95,4.25,3.95,4.2402,48000
ADAG,03-Jan-2023,1.35,1.35,1.26,1.27,31800
ADAL,03-Jan-2023,10.26,10.26,10.26,10.26,0
ADALU,03-Jan-2023,10.2,10.2,10.2,10.2,0
ADALW,03-Jan-2023,0.11,0.11,0.11,0.11,0
ADAP,03-Jan-2023,1.64,1.7856,1.58,1.67,681700
ADBE,03-Jan-2023,340.16,345.82,331.92,336.92,2229100
ADD,03-Jan-2023,0.924,0.96,0.88,0.9,44900
ADEA,03-Jan-2023,9.61,10.12,9.47,9.98,607000
ADER,03-Jan-2023,10.14,10.145,10.06,10.07,164900
ADERU,03-Jan-2023,10,10.25,9.7824,10.21,11000
ADERW,03-Jan-2023,0.25,0.27,0.2101,0.2412,127700
ADES,03-Jan-2023,2.43,2.5,2.3346,2.36,36900
ADI,03-Jan-2023,165.57,166.2,161.44,162.45,4475700
ADIL,03-Jan-2023,0.213,0.259,0.213,0.235,276600
ADILW,03-Jan-2023,0.0247,0.0247,0.0106,0.0106,1900
ADMA,03-Jan-2023,3.94,3.98,3.7801,3.87,3119200
ADMP,03-Jan-2023,0.16,0.175,0.16,0.1651,679300
ADN,03-Jan-2023,1.85,1.86,1.61,1.68,375800
ADNWW,03-Jan-2023,0.1688,0.1757,0.1577,0.1583,12700
ADOC,03-Jan-2023,10.4999,10.4999,10.4999,10.4999,500
ADOCR,03-Jan-2023,0.07,0.07,0.07,0.07,1000
ADP,03-Jan-2023,240.79,241.51,235.27,237.66,1749800
ADPT,03-Jan-2023,7.89,8.24,7.5,7.8,1057800
ADRE,03-Jan-2023,37.79,37.82,37.373,37.45,5500
ADSE,03-Jan-2023,3.24,3.25,2.9694,3,285900
ADSEW,03-Jan-2023,0.1938,0.2147,0.1905,0.1905,106900
ADSK,03-Jan-2023,190.62,192.9635,183,185.15,1181500
