Symbol,Date,Open,High,Low,Close,Volume
AACG,26-Dec-2022,1.44,1.44,1.44,1.44,0
AACI,26-Dec-2022,10.06,10.06,10.06,10.06,0
AACIW,26-Dec-2022,0.0301,0.0301,0.0301,0.0301,0
AADI,26-Dec-2022,12.52,12.52,12.52,12.52,0
AADR,26-Dec-2022,48.2,48.2,48.2,48.2,0
AAL,26-Dec-2022,12.71,12.71,12.71,12.71,0
AAME,26-Dec-2022,2.42,2.42,2.42,2.42,0
AAOI,26-Dec-2022,1.95,1.95,1.95,1.95,0
AAON,26-Dec-2022,75.86,75.86,75.86,75.86,0
AAPB,26-Dec-2022,15.87,15.87,15.87,15.87,0
AAPD,26-Dec-2022,29.89,29.89,29.89,29.89,0
AAPL,26-Dec-2022,131.86,131.86,131.86,131.86,0
AAPU,26-Dec-2022,17.06,17.06,17.06,17.06,0
AATC,26-Dec-2022,3.8,3.8,3.8,3.8,0
AAWW,26-Dec-2022,100.7,100.7,100.7,100.7,0
AAXJ,26-Dec-2022,64.51,64.51,64.51,64.51,0
ABCB,26-Dec-2022,47.86,47.86,47.86,47.86,0
ABCL,26-Dec-2022,10.33,10.33,10.33,10.33,0
ABCM,26-Dec-2022,15.45,15.45,15.45,15.45,0
ABEO,26-Dec-2022,2.51,2.51,2.51,2.51,0
ABGI,26-Dec-2022,10.07,10.07,10.07,10.07,0
ABIO,26-Dec-2022,2.35,2.35,2.35,2.35,0
ABNB,26-Dec-2022,85.25,85.25,85.25,85.25,0
ABOS,26-Dec-2022,5.21,5.21,5.21,5.21,0
ABSI,26-Dec-2022,2.17,2.17,2.17,2.17,0
ABST,26-Dec-2022,9.79,9.79,9.79,9.79,0
ABUS,26-Dec-2022,2.39,2.39,2.39,2.39,0
ABVC,26-Dec-2022,0.69,0.69,0.69,0.69,0
ACAB,26-Dec-2022,10.17,10.17,10.17,10.17,0
ACABU,26-Dec-2022,10.14,10.14,10.14,10.14,0
ACABW,26-Dec-2022,0.025,0.025,0.025,0.025,0
ACAC,26-Dec-2022,10.18,10.18,10.18,10.18,0
ACACU,26-Dec-2022,10.15,10.15,10.15,10.15,0
ACAD,26-Dec-2022,15.47,15.47,15.47,15.47,0
ACAH,26-Dec-2022,10,10,10,10,0
ACAHU,26-Dec-2022,10,10,10,10,0
ACAHW,26-Dec-2022,0.015,0.015,0.015,0.015,0
ACAX,26-Dec-2022,10.02,10.02,10.02,10.02,0
ACAXW,26-Dec-2022,0.2057,0.2057,0.2057,0.2057,0
ACB,26-Dec-2022,0.927,0.927,0.927,0.927,0
ACBA,26-Dec-2022,10.63,10.63,10.63,10.63,0
ACBAU,26-Dec-2022,10.61,10.61,10.61,10.61,0
ACBAW,26-Dec-2022,0.0409,0.0409,0.0409,0.0409,0
ACCD,26-Dec-2022,8.35,8.35,8.35,8.35,0
ACDC,26-Dec-2022,25.19,25.19,25.19,25.19,0
ACDCW,26-Dec-2022,0.0331,0.0331,0.0331,0.0331,0
ACER,26-Dec-2022,3.72,3.72,3.72,3.72,0
ACET,26-Dec-2022,7.93,7.93,7.93,7.93,0
ACGL,26-Dec-2022,63.38,63.38,63.38,63.38,0
ACGLN,26-Dec-2022,18.68,18.68,18.68,18.68,0
ACGLO,26-Dec-2022,20.85,20.85,20.85,20.85,0
ACHC,26-Dec-2022,83,83,83,83,0
ACHL,26-Dec-2022,0.8001,0.8001,0.8001,0.8001,0
ACHV,26-Dec-2022,2.5,2.5,2.5,2.5,0
ACIU,26-Dec-2022,1.745,1.745,1.745,1.745,0
ACIW,26-Dec-2022,21.97,21.97,21.97,21.97,0
ACLS,26-Dec-2022,80.27,80.27,80.27,80.27,0
ACLX,26-Dec-2022,31.44,31.44,31.44,31.44,0
ACMR,26-Dec-2022,7.52,7.52,7.52,7.52,0
ACNB,26-Dec-2022,40.27,40.27,40.27,40.27,0
ACNT,26-Dec-2022,8.5,8.5,8.5,8.5,0
ACON,26-Dec-2022,0.48,0.48,0.48,0.48,0
ACONW,26-Dec-2022,0.19,0.19,0.19,0.19,0
ACOR,26-Dec-2022,0.58,0.58,0.58,0.58,0
ACQR,26-Dec-2022,10.07,10.07,10.07,10.07,0
ACQRU,26-Dec-2022,10.08,10.08,10.08,10.08,0
ACQRW,26-Dec-2022,0.0101,0.0101,0.0101,0.0101,0
ACRS,26-Dec-2022,15.08,15.08,15.08,15.08,0
ACRV,26-Dec-2022,11.65,11.65,11.65,11.65,0
ACRX,26-Dec-2022,2.07,2.07,2.07,2.07,0
ACST,26-Dec-2022,0.5241,0.5241,0.5241,0.5241,0
ACT,26-Dec-2022,24.19,24.19,24.19,24.19,0
ACTG,26-Dec-2022,3.98,3.98,3.98,3.98,0
ACVA,26-Dec-2022,7.81,7.81,7.81,7.81,0
ACWI,26-Dec-2022,85.06,85.06,85.06,85.06,0
ACWX,26-Dec-2022,45.59,45.59,45.59,45.59,0
ACXP,26-Dec-2022,3.93,3.93,3.93,3.93,0
ADAG,26-Dec-2022,1.26,1.26,1.26,1.26,0
ADAL,26-Dec-2022,10.24,10.24,10.24,10.24,0
ADALU,26-Dec-2022,10.2,10.2,10.2,10.2,0
ADALW,26-Dec-2022,0.13,0.13,0.13,0.13,0
ADAP,26-Dec-2022,1.36,1.36,1.36,1.36,0
ADBE,26-Dec-2022,338.45,338.45,338.45,338.45,0
ADD,26-Dec-2022,0.8,0.8,0.8,0.8,0
ADEA,26-Dec-2022,9.48,9.48,9.48,9.48,0
ADER,26-Dec-2022,10.12,10.12,10.12,10.12,0
ADERU,26-Dec-2022,10.21,10.21,10.21,10.21,0
ADERW,26-Dec-2022,0.2895,0.2895,0.2895,0.2895,0
ADES,26-Dec-2022,2.28,2.28,2.28,2.28,0
ADI,26-Dec-2022,163.84,163.84,163.84,163.84,0
ADIL,26-Dec-2022,0.221,0.221,0.221,0.221,0
ADILW,26-Dec-2022,0.02,0.02,0.02,0.02,0
ADMA,26-Dec-2022,3.65,3.65,3.65,3.65,0
ADMP,26-Dec-2022,0.156,0.156,0.156,0.156,0
ADN,26-Dec-2022,1.79,1.79,1.79,1.79,0
ADNWW,26-Dec-2022,0.2,0.2,0.2,0.2,0
ADOC,26-Dec-2022,10.49,10.49,10.49,10.49,0
ADOCR,26-Dec-2022,0.1,0.1,0.1,0.1,0
ADOCW,26-Dec-2022,0.0111,0.0111,0.0111,0.0111,0
ADP,26-Dec-2022,240.94,240.94,240.94,240.94,0
ADPT,26-Dec-2022,7.5,7.5,7.5,7.5,0
ADRE,26-Dec-2022,37.4,37.4,37.4,37.4,0
ADSE,26-Dec-2022,3.21,3.21,3.21,3.21,0
ADSEW,26-Dec-2022,0.2123,0.2123,0.2123,0.2123,0
ADSK,26-Dec-2022,188.16,188.16,188.16,188.16,0
ADTH,26-Dec-2022,1.55,1.55,1.55,1.55,0
ADTHW,26-Dec-2022,0.09,0.09,0.09,0.09,0
ADTN,26-Dec-2022,18.79,18.79,18.79,18.79,0
ADTX,26-Dec-2022,1.13,1.13,1.13,1.13,0
ADUS,26-Dec-2022,100.96,100.96,100.96,100.96,0
ADV,26-Dec-2022,1.87,1.87,1.87,1.87,0
ADVM,26-Dec-2022,0.57,0.57,0.57,0.57,0
ADVWW,26-Dec-2022,0.1629,0.1629,0.1629,0.1629,0
ADXN,26-Dec-2022,0.56,0.56,0.56,0.56,0
AEAC,26-Dec-2022,10.09,10.09,10.09,10.09,0
AEACU,26-Dec-2022,10.09,10.09,10.09,10.09,0
AEACW,26-Dec-2022,0.003,0.003,0.003,0.003,0
AEAE,26-Dec-2022,10.15,10.15,10.15,10.15,0
AEAEU,26-Dec-2022,10.2,10.2,10.2,10.2,0
AEAEW,26-Dec-2022,0.08,0.08,0.08,0.08,0
AEHA,26-Dec-2022,10.39,10.39,10.39,10.39,0
AEHAW,26-Dec-2022,0.1504,0.1504,0.1504,0.1504,0
AEHL,26-Dec-2022,0.59,0.59,0.59,0.59,0
AEHR,26-Dec-2022,20.98,20.98,20.98,20.98,0
AEI,26-Dec-2022,0.165,0.165,0.165,0.165,0
AEIS,26-Dec-2022,83.72,83.72,83.72,83.72,0
AEMD,26-Dec-2022,0.251,0.251,0.251,0.251,0
AEP,26-Dec-2022,95.69,95.69,95.69,95.69,0
AEPPZ,26-Dec-2022,52.17,52.17,52.17,52.17,0
AERC,26-Dec-2022,3.15,3.15,3.15,3.15,0
AEY,26-Dec-2022,1.4,1.4,1.4,1.4,0
AEYE,26-Dec-2022,3.85,3.85,3.85,3.85,0
AEZS,26-Dec-2022,3.225,3.225,3.225,3.225,0
AFAR,26-Dec-2022,10.22,10.22,10.22,10.22,0
AFARU,26-Dec-2022,10.22,10.22,10.22,10.22,0
AFARW,26-Dec-2022,0.0326,0.0326,0.0326,0.0326,0
AFBI,26-Dec-2022,14.54,14.54,14.54,14.54,0
AFCG,26-Dec-2022,16.52,16.52,16.52,16.52,0
AFIB,26-Dec-2022,1.06,1.06,1.06,1.06,0
AFMD,26-Dec-2022,1.16,1.16,1.16,1.16,0
AFRI,26-Dec-2022,11.1,11.1,11.1,11.1,0
AFRIW,26-Dec-2022,0.57,0.57,0.57,0.57,0
AFRM,26-Dec-2022,9.19,9.19,9.19,9.19,0
AFYA,26-Dec-2022,15.47,15.47,15.47,15.47,0
AGAE,26-Dec-2022,1.02,1.02,1.02,1.02,0
AGBA,26-Dec-2022,1.85,1.85,1.85,1.85,0
AGBAW,26-Dec-2022,0.0699,0.0699,0.0699,0.0699,0
AGEN,26-Dec-2022,2.45,2.45,2.45,2.45,0
AGFS,26-Dec-2022,2.95,2.95,2.95,2.95,0
AGFY,26-Dec-2022,0.339,0.339,0.339,0.339,0
AGGR,26-Dec-2022,10.08,10.08,10.08,10.08,0
AGGRU,26-Dec-2022,10.06,10.06,10.06,10.06,0
AGGRW,26-Dec-2022,0.01,0.01,0.01,0.01,0
AGIL,26-Dec-2022,4.39,4.39,4.39,4.39,0
AGILW,26-Dec-2022,0.4,0.4,0.4,0.4,0
AGIO,26-Dec-2022,27.03,27.03,27.03,27.03,0
AGLE,26-Dec-2022,0.3593,0.3593,0.3593,0.3593,0
AGMH,26-Dec-2022,1.65,1.65,1.65,1.65,0
AGNC,26-Dec-2022,10.71,10.71,10.71,10.71,0
AGNCL,26-Dec-2022,22.65,22.65,22.65,22.65,0
AGNCM,26-Dec-2022,20.3853,20.3853,20.3853,20.3853,0
AGNCN,26-Dec-2022,25.27,25.27,25.27,25.27,0
AGNCO,26-Dec-2022,20.69,20.69,20.69,20.69,0
AGNCP,26-Dec-2022,19.94,19.94,19.94,19.94,0
AGNG,26-Dec-2022,26.18,26.18,26.18,26.18,0
AGRI,26-Dec-2022,1.03,1.03,1.03,1.03,0
AGRIW,26-Dec-2022,0.125,0.125,0.125,0.125,0
AGRX,26-Dec-2022,0.1945,0.1945,0.1945,0.1945,0
AGYS,26-Dec-2022,80.06,80.06,80.06,80.06,0
AGZD,26-Dec-2022,43.46,43.46,43.46,43.46,0
AHCO,26-Dec-2022,19.13,19.13,19.13,19.13,0
AHG,26-Dec-2022,0.4011,0.4011,0.4011,0.4011,0
AHI,26-Dec-2022,0.3852,0.3852,0.3852,0.3852,0
AHPI,26-Dec-2022,0.95,0.95,0.95,0.95,0
AHRN,26-Dec-2022,10.22,10.22,10.22,10.22,0
