Symbol,Date,Open,High,Low,Close,Volume
AACG,20-Dec-2022,1.43,1.5,1.41,1.43,11900
AACIW,20-Dec-2022,0.03,0.03,0.03,0.03,10000
AADI,20-Dec-2022,12.03,12.33,11.95,12.3,52700
AADR,20-Dec-2022,48.13,48.2159,48.13,48.14,300
AAL,20-Dec-2022,12.42,12.62,12.375,12.53,20354100
AAME,20-Dec-2022,2.46,2.4601,2.45,2.45,3600
AAOI,20-Dec-2022,2.13,2.3,2.13,2.21,188500
AAON,20-Dec-2022,75.98,76.5,75.25,75.41,122800
AAPB,20-Dec-2022,15.59,16.03,15.59,16.03,2100
AAPD,20-Dec-2022,29.91,30.26,29.54,29.7248,167500
AAPL,20-Dec-2022,131.39,133.25,129.89,132.3,77432800
AAPU,20-Dec-2022,17.01,17.33,16.71,17.16,171400
AATC,20-Dec-2022,5.01,5.01,4.6373,4.755,55700
AAWW,20-Dec-2022,100.22,100.49,100.15,100.44,189700
AAXJ,20-Dec-2022,64.43,64.92,64.38,64.6,553500
ABCB,20-Dec-2022,46.9,47.185,46.59,46.68,388400
ABCL,20-Dec-2022,9.85,10.43,9.81,10.41,1914000
ABCM,20-Dec-2022,15.25,15.26,14.39,15.06,1326700
ABEO,20-Dec-2022,2.52,2.75,2.4714,2.6,465700
ABGI,20-Dec-2022,10.04,10.06,10.04,10.04,5300
ABIO,20-Dec-2022,2.33,2.45,2.32,2.4,135400
ABMD,20-Dec-2022,381.21,381.3,380.5,380.79,2401300
ABNB,20-Dec-2022,86.71,90.86,86.52,87.62,7325700
ABOS,20-Dec-2022,5.5,5.9,5.49,5.81,109300
ABSI,20-Dec-2022,2.41,2.5,2.33,2.38,166400
ABST,20-Dec-2022,9.7,9.946,9.66,9.9,56100
ABUS,20-Dec-2022,2.44,2.44,2.32,2.42,844100
ABVC,20-Dec-2022,0.69,0.7457,0.66,0.67,49600
ACAB,20-Dec-2022,10.145,10.145,10.14,10.14,58700
ACABW,20-Dec-2022,0.015,0.0391,0.005,0.0391,327900
ACAC,20-Dec-2022,10.16,10.17,10.151,10.1695,180600
ACACU,20-Dec-2022,10.17,10.17,10.16,10.16,1200
ACAD,20-Dec-2022,15,15.545,14.8,15.45,936600
ACAH,20-Dec-2022,9.963,9.963,9.96,9.96,3200
ACAHW,20-Dec-2022,0.015,0.015,0.015,0.015,600
ACB,20-Dec-2022,0.97,0.98,0.93,0.9426,8106200
ACBA,20-Dec-2022,10.66,10.66,10.62,10.62,3800
ACCD,20-Dec-2022,8.26,8.46,8.01,8.34,620200
ACDC,20-Dec-2022,21.87,23.5,21.692,23.23,377000
ACDCW,20-Dec-2022,0.0307,0.041,0.0302,0.032,59900
ACER,20-Dec-2022,3.2,3.32,3.14,3.26,295200
ACET,20-Dec-2022,8.38,8.64,8.155,8.31,686900
ACGL,20-Dec-2022,61.73,62.35,60.99,62.24,2582400
ACGLN,20-Dec-2022,18.71,18.92,18.56,18.76,98200
ACGLO,20-Dec-2022,21.47,21.48,21.19,21.19,25700
ACHC,20-Dec-2022,82.63,85.09,82.27,83.23,520500
ACHL,20-Dec-2022,0.86,0.9297,0.75,0.84,578200
ACHV,20-Dec-2022,2.53,2.53,2.4,2.44,51300
ACIU,20-Dec-2022,1.91,1.9414,1.7,1.74,156500
ACIW,20-Dec-2022,20.55,21.222,20.335,20.88,1101100
ACLS,20-Dec-2022,77.74,80.585,77.3201,80.48,346600
ACLX,20-Dec-2022,29.46,33.37,29.46,32.13,588500
ACMR,20-Dec-2022,8.43,8.58,8.26,8.32,379000
ACNB,20-Dec-2022,39.35,39.63,38.85,39.27,10300
ACNT,20-Dec-2022,9.8232,10.0461,9.72,9.72,15100
ACON,20-Dec-2022,0.55,0.55,0.41,0.43,92800
ACONW,20-Dec-2022,0.16,0.1999,0.1509,0.1999,1400
ACOR,20-Dec-2022,0.54,0.58,0.52,0.55,59700
ACQR,20-Dec-2022,10.08,10.08,10.06,10.06,27600
