Symbol,Date,Open,High,Low,Close,Volume
AACG,28-Dec-2022,1.3,1.3917,1.3,1.3069,11500
AACI,28-Dec-2022,10.07,10.1,10.07,10.1,19200
AACIU,28-Dec-2022,10.12,10.12,10.12,10.12,400
AACIW,28-Dec-2022,0.07,0.07,0.031,0.031,15600
AADI,28-Dec-2022,12,12.09,11.8,12.03,77400
AADR,28-Dec-2022,48.44,48.44,47.32,47.4,5000
AAL,28-Dec-2022,12.52,12.68,12.25,12.32,20470300
AAME,28-Dec-2022,2.37,2.3701,2.33,2.33,1400
AAOI,28-Dec-2022,1.83,1.8606,1.691,1.74,227000
AAON,28-Dec-2022,76.74,77.75,75.4556,75.6,87200
AAPB,28-Dec-2022,15.24,15.55,14.64,14.64,12600
AAPD,28-Dec-2022,30.35,31.21,30.08,31.17,608100
AAPL,28-Dec-2022,129.67,131.0275,125.87,126.04,85438300
AAPU,28-Dec-2022,16.45,16.84,15.9,15.96,102700
AATC,28-Dec-2022,3.84,3.89,3.7,3.77,86800
AAWW,28-Dec-2022,100.95,101.44,100.81,101.2,189200
AAXJ,28-Dec-2022,65.4,65.47,64.42,64.42,1083700
ABCB,28-Dec-2022,47.89,49.12,46.85,46.96,285400
ABCL,28-Dec-2022,9.41,9.635,9.345,9.57,1565100
ABCM,28-Dec-2022,15.91,16.26,15.41,15.47,259800
ABEO,28-Dec-2022,2.46,2.4999,2.34,2.4,158300
ABGI,28-Dec-2022,10.07,10.07,10.07,10.07,0
ABIO,28-Dec-2022,2.24,2.36,2.2242,2.36,28100
ABNB,28-Dec-2022,83.25,84.25,81.91,82.49,4931700
ABOS,28-Dec-2022,4.98,5.07,4.58,4.81,98200
ABSI,28-Dec-2022,2.02,2.12,2,2.09,242000
ABST,28-Dec-2022,9.71,9.71,9.43,9.5,36400
ABUS,28-Dec-2022,2.31,2.35,2.2,2.22,1267600
ABVC,28-Dec-2022,0.66,0.675,0.6201,0.63,22800
ACAB,28-Dec-2022,10.185,10.19,10.185,10.19,5000
ACABU,28-Dec-2022,10.14,10.14,10.14,10.14,0
ACABW,28-Dec-2022,0.062,0.062,0.062,0.062,0
ACAC,28-Dec-2022,10.26,10.26,10.26,10.26,0
ACACU,28-Dec-2022,10.25,10.25,10.25,10.25,400
ACAD,28-Dec-2022,15.33,15.705,15.08,15.28,804600
ACAH,28-Dec-2022,10.01,10.02,10.01,10.02,82900
ACAHU,28-Dec-2022,10.01,10.01,10.01,10.01,0
ACAHW,28-Dec-2022,0.0449,0.0449,0.0449,0.0449,0
ACAX,28-Dec-2022,10.05,10.05,10.05,10.05,100
ACB,28-Dec-2022,0.88,0.8961,0.8213,0.8467,10598800
ACBA,28-Dec-2022,10.69,10.69,10.69,10.69,500
ACBAU,28-Dec-2022,10.61,10.61,10.61,10.61,0
ACBAW,28-Dec-2022,0.0311,0.0311,0.0311,0.0311,0
ACCD,28-Dec-2022,7.11,7.48,7,7.35,435200
ACDC,28-Dec-2022,25.3,25.54,23.7,24.01,282700
ACDCW,28-Dec-2022,0.0495,0.0495,0.0345,0.0345,8400
ACER,28-Dec-2022,2.55,2.7,2.19,2.57,917600
ACET,28-Dec-2022,7.72,8.21,7.72,8.1,523200
ACGL,28-Dec-2022,63.67,63.8,62.59,62.6,1107900
ACGLN,28-Dec-2022,18.44,18.47,18.15,18.15,41900
ACGLO,28-Dec-2022,20.54,20.65,20.24,20.24,29700
ACHC,28-Dec-2022,82.85,83.209,80.83,81.57,409900
ACHL,28-Dec-2022,0.8,0.858,0.7925,0.8318,1075800
