Symbol,Date,Open,High,Low,Close,Volume
AACG,21-Dec-2022,1.34,1.44,1.34,1.4285,4400
AACIW,21-Dec-2022,0.03,0.03,0.03,0.03,5000
AADI,21-Dec-2022,12.38,13.005,12.15,12.93,70400
AADR,21-Dec-2022,48.0401,48.8,48.0401,48.8,4800
AAL,21-Dec-2022,12.69,13.22,12.65,13.03,29778800
AAME,21-Dec-2022,2.44,2.441,2.41,2.42,3600
AAOI,21-Dec-2022,2.2,2.24,2.13,2.13,66500
AAON,21-Dec-2022,76.23,77.57,75.25,77.1,158000
AAPB,21-Dec-2022,16.07,16.8462,16.07,16.69,3700
AAPD,21-Dec-2022,29.62,29.62,28.74,29.0297,143000
AAPL,21-Dec-2022,132.98,136.81,132.75,135.45,85927900
AAPU,21-Dec-2022,17.3,18.0201,17.3,17.81,146600
AATC,21-Dec-2022,4.75,4.83,4.155,4.4361,82200
AAWW,21-Dec-2022,100.36,100.68,100.2225,100.68,316000
AAXJ,21-Dec-2022,64.61,65.25,64.37,65.2,974400
ABCB,21-Dec-2022,47.09,48.09,46.83,47.68,305000
ABCL,21-Dec-2022,10.51,10.88,10.51,10.6,1592900
ABCM,21-Dec-2022,15.23,16.225,15.1089,15.88,680500
ABEO,21-Dec-2022,2.58,2.74,2.4,2.68,372900
ABGI,21-Dec-2022,10.06,10.06,10.06,10.06,100
ABIO,21-Dec-2022,2.4,2.46,2.3901,2.435,140700
ABMD,21-Dec-2022,380.78,381.28,380.51,381.02,20612200
ABNB,21-Dec-2022,87.49,88.79,86.59,87.07,5594700
ABOS,21-Dec-2022,5.8,5.8,5.2,5.22,83200
ABSI,21-Dec-2022,2.44,2.51,2.35,2.44,179100
ABST,21-Dec-2022,9.86,10.22,9.85,10.19,35400
ABUS,21-Dec-2022,2.4,2.43,2.35,2.4,889100
ABVC,21-Dec-2022,0.69,0.69,0.64,0.6471,22100
ACABW,21-Dec-2022,0.0135,0.0408,0.0133,0.0408,1400
ACAC,21-Dec-2022,10.17,10.17,10.17,10.17,1900
ACACU,21-Dec-2022,10.17,10.17,10.15,10.15,1500
ACAD,21-Dec-2022,15.47,15.655,15.1,15.31,1155100
ACAHU,21-Dec-2022,10,10,10,10,300
ACAX,21-Dec-2022,10.01,10.02,10.01,10.02,2800
ACAXU,21-Dec-2022,10.04,10.04,10.04,10.04,300
ACB,21-Dec-2022,0.95,0.9711,0.9332,0.9601,7008900
ACBA,21-Dec-2022,10.645,10.645,10.645,10.645,900
ACCD,21-Dec-2022,8.41,8.81,8.24,8.34,462400
ACDC,21-Dec-2022,23.57,23.852,23.24,23.68,278200
ACDCW,21-Dec-2022,0.0498,0.0498,0.0301,0.0301,5000
ACER,21-Dec-2022,3.3,3.88,3.19,3.795,1005600
ACET,21-Dec-2022,8.39,8.535,7.94,8.05,585100
ACGL,21-Dec-2022,62.45,63.53,62.23,63.36,1831600
ACGLN,21-Dec-2022,18.82,18.9085,18.64,18.67,41300
ACGLO,21-Dec-2022,21.24,21.51,21.17,21.17,26900
ACHC,21-Dec-2022,83.71,84.78,83.05,83.52,558800
ACHL,21-Dec-2022,0.85,0.879,0.777,0.79,580400
ACHV,21-Dec-2022,2.4,2.65,2.36,2.5,141300
ACIU,21-Dec-2022,1.84,1.8698,1.68,1.79,1878500
ACIW,21-Dec-2022,21.01,21.45,21.01,21.37,1094500
ACLS,21-Dec-2022,81.42,83.25,80.75,82.65,312700
ACLX,21-Dec-2022,31.25,32,29.21,31.07,1036100
ACMR,21-Dec-2022,8.42,8.7,8.21,8.51,464700
ACNB,21-Dec-2022,39.69,41.28,38.9681,41.17,23200
ACNT,21-Dec-2022,9.84,10.24,8.8,9.15,124000
ACON,21-Dec-2022,0.49,0.49,0.43,0.45,20200
ACOR,21-Dec-2022,0.53,0.5649,0.501,0.528,103300
ACQR,21-Dec-2022,10.05,10.07,10.05,10.065,3000
ACQRU,21-Dec-2022,10.03,10.03,10.03,10.03,300
ACQRW,21-Dec-2022,0.02,0.0398,0.02,0.02,8400
ACRS,21-Dec-2022,15.12,15.48,14.87,15,260700
ACRV,21-Dec-2022,11.85,12.4184,11.52,11.92,16900
ACRX,21-Dec-2022,2.17,2.26,1.92,2.08,186500
ACST,21-Dec-2022,0.53,0.534,0.4501,0.4911,194400
ACT,21-Dec-2022,24.59,24.86,24.36,24.63,153100
ACTG,21-Dec-2022,3.68,3.875,3.68,3.79,421500
ACVA,21-Dec-2022,8.76,8.88,8.28,8.34,1882800
ACWI,21-Dec-2022,85.12,85.94,84.98,85.7,3799200
ACWX,21-Dec-2022,45.61,45.96,45.54,45.88,2459700
ACXP,21-Dec-2022,3.9,3.95,3.83,3.85,16300
ADAG,21-Dec-2022,1.15,1.2699,1.15,1.2,29300
ADAP,21-Dec-2022,1.33,1.47,1.33,1.42,217500
ADBE,21-Dec-2022,340.29,345.29,336.44,341.38,2582900
ADD,21-Dec-2022,0.8,0.818,0.7501,0.81,33800
ADEA,21-Dec-2022,9.45,9.545,9.19,9.34,674000
ADER,21-Dec-2022,10.1,10.15,10.1,10.14,399800
ADERW,21-Dec-2022,0.2505,0.31,0.2503,0.31,10800
ADES,21-Dec-2022,2.22,2.36,2.2,2.31,75100
ADI,21-Dec-2022,165.38,167.84,165.22,167.41,2181300
ADIL,21-Dec-2022,0.233,0.2652,0.233,0.2437,71100
ADMA,21-Dec-2022,3.65,3.75,3.62,3.69,1856600
ADMP,21-Dec-2022,0.13,0.17,0.13,0.16,860600
ADN,21-Dec-2022,1.97,1.98,1.84,1.84,342000
ADNWW,21-Dec-2022,0.21,0.22,0.1829,0.183,64800
ADOC,21-Dec-2022,10.47,10.47,10.47,10.47,700
ADP,21-Dec-2022,245.92,247.56,244.125,247.04,1341300
ADPT,21-Dec-2022,7.82,8.4,7.68,8.05,2346800
ADRE,21-Dec-2022,37.43,38.062,37.43,38.01,4900
ADSE,21-Dec-2022,3.33,3.65,3.22,3.36,49900
ADSEW,21-Dec-2022,0.23,0.26,0.2299,0.25,45100
ADSK,21-Dec-2022,188.67,193.375,186.28,192.23,1177300
ADTH,21-Dec-2022,1.69,1.7099,1.6,1.64,40500
ADTHW,21-Dec-2022,0.1175,0.1175,0.1001,0.1001,10400
ADTN,21-Dec-2022,18.56,19.19,18.52,19.03,259600
ADTX,21-Dec-2022,1.2,1.21,1.15,1.16,44300
ADUS,21-Dec-2022,102.84,105.16,101.9701,102.84,48300
ADV,21-Dec-2022,1.95,1.95,1.89,1.91,388000
ADVM,21-Dec-2022,0.571,0.59,0.5429,0.5626,3371000
ADXN,21-Dec-2022,0.6181,0.6283,0.5705,0.6,81800
AEAC,21-Dec-2022,10.09,10.09,10.08,10.09,1600
AEACU,21-Dec-2022,10.06,10.07,10.0599,10.07,2400
AEACW,21-Dec-2022,0.0076,0.0076,0.0044,0.0055,30800
AEAEW,21-Dec-2022,0.09,0.09,0.07,0.075,5400
AEHL,21-Dec-2022,0.5998,0.6,0.5611,0.5622,11700
AEHR,21-Dec-2022,22.63,23.43,22.1,22.8,658600
AEI,21-Dec-2022,0.1755,0.1984,0.175,0.19,1034000
AEIS,21-Dec-2022,86.38,87.78,85.75,86.87,185300
AEMD,21-Dec-2022,0.3,0.34,0.29,0.291,72100
AEP,21-Dec-2022,94.06,95.36,93.7694,95.34,2399100
AEPPZ,21-Dec-2022,51.56,52.0646,51.56,52.0646,56400
AERC,21-Dec-2022,3.05,3.37,2.9875,3.19,122200
AEY,21-Dec-2022,1.38,1.4675,1.38,1.42,68000
AEYE,21-Dec-2022,4.12,4.12,4.013,4.04,9800
AEZS,21-Dec-2022,3.16,3.28,3.1409,3.22,53200
AFAQU,21-Dec-2022,11,11.3283,10.04,10.04,6800
AFAR,21-Dec-2022,10.22,10.22,10.22,10.22,500
AFARU,21-Dec-2022,10.19,10.19,10.19,10.19,100
AFARW,21-Dec-2022,0.0326,0.0326,0.0326,0.0326,100
AFBI,21-Dec-2022,14.35,14.5189,14.16,14.33,3300
AFCG,21-Dec-2022,16.82,16.85,16.36,16.43,126700
AFIB,21-Dec-2022,0.8786,0.9211,0.851,0.8951,233000
AFMD,21-Dec-2022,1.15,1.24,1.135,1.19,1546800
AFRI,21-Dec-2022,11,11.5,11,11.5,2700
AFRM,21-Dec-2022,9.5,9.69,9.13,9.51,11726900
AFYA,21-Dec-2022,15.53,15.64,15.28,15.62,298300
AGAE,21-Dec-2022,0.95,1.01,0.95,0.99,91800
AGBA,21-Dec-2022,1.91,2.1399,1.87,1.95,22900
AGBAW,21-Dec-2022,0.05,0.0695,0.0328,0.0695,38100
AGEN,21-Dec-2022,2.44,2.52,2.36,2.44,3442500
AGFS,21-Dec-2022,2.96,2.96,2.95,2.95,75600
AGFY,21-Dec-2022,0.31,0.3298,0.28,0.3201,2326200
AGGR,21-Dec-2022,10.07,10.07,10.07,10.07,11800
AGGRW,21-Dec-2022,0.0101,0.0101,0.01,0.01,57500
AGIL,21-Dec-2022,4.5,4.5,4.18,4.21,20100
AGILW,21-Dec-2022,0.4619,0.4678,0.3151,0.4,42100
AGIO,21-Dec-2022,28.58,29.55,28.45,28.52,435800
AGLE,21-Dec-2022,0.34,0.3689,0.34,0.3618,383500
AGMH,21-Dec-2022,1.5012,1.62,1.5012,1.61,9100
AGNC,21-Dec-2022,10.47,10.64,10.45,10.58,13960900
AGNCL,21-Dec-2022,22.1,22.3,21.84,22.27,46500
AGNCM,21-Dec-2022,20.43,20.77,20.074,20.4,46200
AGNCN,21-Dec-2022,25.18,25.3999,25.18,25.3,58100
AGNCO,21-Dec-2022,20.78,20.94,20.72,20.72,42900
AGNCP,21-Dec-2022,19.72,20.0816,19.65,19.9,53800
AGNG,21-Dec-2022,26.1162,26.4087,26.07,26.245,5500
AGRI,21-Dec-2022,1.1,1.1699,1.0384,1.1,41800
AGRX,21-Dec-2022,0.18,0.193,0.1782,0.1821,624800
AGYS,21-Dec-2022,79.99,79.99,77.13,78.87,108400
AGZD,21-Dec-2022,43.55,43.7099,43.5274,43.63,86800
AHCO,21-Dec-2022,19.12,19.475,18.825,19.03,776300
AHG,21-Dec-2022,0.42,0.42,0.38,0.3949,13100
AHI,21-Dec-2022,0.41,0.435,0.41,0.4151,52700
AHPI,21-Dec-2022,0.95,0.95,0.91,0.9499,5300
AHRN,21-Dec-2022,10.22,10.22,10.22,10.22,800
AHRNW,21-Dec-2022,0.07,0.0999,0.07,0.0999,7700
AIA,21-Dec-2022,56.36,57.2,56.25,57.2,36600
AIH,21-Dec-2022,1.21,1.2499,1.15,1.2499,4700
AIHS,21-Dec-2022,0.95,0.97,0.91,0.96,4900
AIKI,21-Dec-2022,3.55,3.67,3.5,3.56,31900
AIMC,21-Dec-2022,59.27,59.62,59.24,59.62,245000
AIMD,21-Dec-2022,0.69,0.69,0.63,0.63,2300
AIP,21-Dec-2022,4.17,4.73,4.165,4.5,170100
AIQ,21-Dec-2022,20.29,20.58,20.2501,20.5,40500
