Symbol,Date,Open,High,Low,Close,Volume
AACG,22-Dec-2022,1.44,1.45,1.35,1.45,8745
AACIW,22-Dec-2022,0.03,0.03,0.03,0.03,12466
AADI,22-Dec-2022,12.73,12.81,12.16,12.62,62986
AADR,22-Dec-2022,47.87,48.45,47.77,48.45,2921
AAL,22-Dec-2022,12.98,12.99,12.23,12.56,25302177
AAME,22-Dec-2022,2.42,2.5,2.41,2.5,8377
AAOI,22-Dec-2022,2.13,2.13,1.95,2,214509
AAON,22-Dec-2022,76.75,77.08,75.68,76.62,284190
AAPB,22-Dec-2022,15.94,15.98,15.57,15.98,5636
AAPD,22-Dec-2022,29.29,30.13,29.25,29.71,322617
AAPL,22-Dec-2022,134.35,134.56,130.3,132.23,77575312
AAPU,22-Dec-2022,17.55,17.59,16.77,17.16,128125
AATC,22-Dec-2022,4.32,4.32,3.74,3.75,167367
AAWW,22-Dec-2022,100.18,100.76,100.18,100.67,266360
AAXJ,22-Dec-2022,65.12,65.17,64.15,64.62,558014
ABCB,22-Dec-2022,47.4,47.68,46.4,47.13,330698
ABCL,22-Dec-2022,10.52,10.55,10.27,10.54,1251829
ABCM,22-Dec-2022,15.71,15.96,15.33,15.76,316839
ABEO,22-Dec-2022,2.65,2.65,2.39,2.6,262379
ABGI,22-Dec-2022,10.1,10.12,10.06,10.06,30498
ABIO,22-Dec-2022,2.44,2.44,2.36,2.4,63805
ABNB,22-Dec-2022,85.54,86.04,82.58,84.87,5584445
ABOS,22-Dec-2022,5.19,5.58,5.19,5.56,86840
ABSI,22-Dec-2022,2.42,2.42,2.13,2.21,407559
ABST,22-Dec-2022,10.19,10.19,9.78,10.06,74630
ABUS,22-Dec-2022,2.42,2.42,2.32,2.41,763631
ABVC,22-Dec-2022,0.67,0.67,0.64,0.64,11984
ACAB,22-Dec-2022,10.15,10.16,10.15,10.16,20601
ACABW,22-Dec-2022,0.02,0.02,0.02,0.02,618
ACACU,22-Dec-2022,10.17,10.17,10.15,10.15,1814
ACAD,22-Dec-2022,15.16,15.83,15.06,15.82,1356785
ACAH,22-Dec-2022,9.97,9.98,9.97,9.97,484
ACAHW,22-Dec-2022,0.015,0.015,0.015,0.015,15000
ACB,22-Dec-2022,0.95,0.96,0.87,0.91,11372586
ACBA,22-Dec-2022,10.63,10.63,10.63,10.63,200
ACBAU,22-Dec-2022,10.4,10.61,10.3,10.61,800
ACCD,22-Dec-2022,8.21,8.21,7.61,7.97,495184
ACDC,22-Dec-2022,23.7,23.75,22.87,23.36,191738
ACDCW,22-Dec-2022,0.03,0.0496,0.03,0.0419,16037
ACER,22-Dec-2022,3.82,4.24,3.59,4.15,710373
ACET,22-Dec-2022,7.96,8.15,7.56,8.05,1145096
ACGL,22-Dec-2022,63.09,63.36,62.37,62.85,1396314
ACGLN,22-Dec-2022,18.57,18.64,18.45,18.63,61880
ACGLO,22-Dec-2022,21.17,21.25,20.75,20.82,27748
ACHC,22-Dec-2022,83.26,84.82,82.01,83.15,511868
ACHL,22-Dec-2022,0.79,0.9,0.78,0.79,1011295
ACHV,22-Dec-2022,2.48,2.57,2.44,2.47,23114
ACIU,22-Dec-2022,1.73,1.78,1.71,1.72,95931
ACIW,22-Dec-2022,21.23,21.33,20.92,21.31,933255
ACLS,22-Dec-2022,80.65,81,75.73,80.43,719205
ACLX,22-Dec-2022,30.95,32,30.15,31.97,403160
ACMR,22-Dec-2022,8.25,8.25,7.28,7.58,1079162
ACNB,22-Dec-2022,41.01,41.01,39.92,40.6,7023
ACNT,22-Dec-2022,9.5,10.07,8.61,8.97,29673
ACON,22-Dec-2022,0.45,0.45,0.41,0.41,17604
ACOR,22-Dec-2022,0.53,0.57,0.52,0.53,132348
ACQR,22-Dec-2022,10.55,10.55,10.07,10.07,36632
ACQRU,22-Dec-2022,10.07,10.08,10.07,10.08,990
ACQRW,22-Dec-2022,0.01,0.03,0.01,0.03,1100
ACRS,22-Dec-2022,14.98,15.36,14.86,15.29,332363
ACRV,22-Dec-2022,11.72,11.75,11.35,11.35,4081
ACRX,22-Dec-2022,2.07,2.29,1.93,2.28,249339
ACST,22-Dec-2022,0.59,0.59,0.5,0.55,2267519
ACT,22-Dec-2022,24.52,24.52,23.81,23.91,77589
ACTG,22-Dec-2022,3.81,3.95,3.8,3.92,297076
ACVA,22-Dec-2022,8.18,8.18,7.41,7.93,1449988
ACWI,22-Dec-2022,85.15,85.18,83.59,84.67,5524923
ACWX,22-Dec-2022,45.71,45.71,45.09,45.46,2235296
ACXP,22-Dec-2022,3.83,3.85,3.65,3.77,14524
ADAG,22-Dec-2022,1.32,1.32,1.17,1.23,35742
ADAP,22-Dec-2022,1.44,1.46,1.35,1.41,241718
ADBE,22-Dec-2022,336.01,339.88,330.94,336.52,2312764
ADD,22-Dec-2022,0.77,0.82,0.76,0.8,41090
ADEA,22-Dec-2022,9.25,9.51,9.01,9.47,393956
ADER,22-Dec-2022,10.12,10.15,10.11,10.13,6774
ADERW,22-Dec-2022,0.2503,0.2802,0.2503,0.2503,5945
ADES,22-Dec-2022,2.31,2.32,2.16,2.22,79136
ADI,22-Dec-2022,164.83,164.83,161.06,163.75,2972245
ADIL,22-Dec-2022,0.24,0.25,0.22,0.25,108439
ADMA,22-Dec-2022,3.67,3.8,3.65,3.8,2654138
ADMP,22-Dec-2022,0.15,0.1705,0.15,0.1599,560036
ADN,22-Dec-2022,1.84,1.84,1.72,1.81,337678
ADNWW,22-Dec-2022,0.2,0.21,0.18,0.21,76234
ADOCW,22-Dec-2022,0.01,0.01,0.01,0.01,42960
ADP,22-Dec-2022,244.48,244.71,236.74,239.16,2369879
ADPT,22-Dec-2022,7.98,8.14,7.73,8.06,919764
ADRE,22-Dec-2022,37.96,37.96,37.21,37.77,6475
ADSE,22-Dec-2022,3.45,3.45,3.15,3.26,60879
ADSEW,22-Dec-2022,0.3751,0.3799,0.216,0.279,46205
ADSK,22-Dec-2022,189.31,190.11,185.85,188.1,1971981
ADTH,22-Dec-2022,1.61,1.63,1.53,1.57,43656
ADTHW,22-Dec-2022,0.1,0.1,0.09,0.09,26107
ADTN,22-Dec-2022,18.84,18.84,18.48,18.67,231668
ADTX,22-Dec-2022,1.16,1.2,1.1,1.2,81359
ADUS,22-Dec-2022,102.16,102.51,100.36,101.73,51928
ADV,22-Dec-2022,1.9,1.91,1.78,1.9,429936
ADVM,22-Dec-2022,0.55,0.63,0.55,0.61,435389
ADVWW,22-Dec-2022,0.14,0.16,0.12,0.12,9460
ADXN,22-Dec-2022,0.61,0.61,0.55,0.55,156673
AEAC,22-Dec-2022,10.09,10.1,10.09,10.09,6900
AEACU,22-Dec-2022,10.08,10.08,10.075,10.075,1600
AEAE,22-Dec-2022,10.15,10.15,10.15,10.15,227500
AEAEW,22-Dec-2022,0.05,0.12,0.03,0.08,22659
AEHA,22-Dec-2022,10.39,10.39,10.39,10.39,100
AEHL,22-Dec-2022,0.57,0.58,0.54,0.54,36621
AEHR,22-Dec-2022,22.37,22.6,19.67,20.86,2013626
AEI,22-Dec-2022,0.195,0.195,0.1614,0.166,1321933
AEIS,22-Dec-2022,85.59,85.59,81.81,83.28,194815
AEMD,22-Dec-2022,0.29,0.295,0.225,0.2532,309193
AEP,22-Dec-2022,94.95,94.99,92.97,94.47,3055308
AEPPZ,22-Dec-2022,51.97,52.02,51.1,51.66,12287
AERC,22-Dec-2022,3.09,3.25,3.07,3.14,72959
AEY,22-Dec-2022,1.4,1.44,1.39,1.44,28034
AEYE,22-Dec-2022,4.04,4.06,3.9,4,10425
AEZS,22-Dec-2022,3.17,3.2216,3.15,3.2,17771
AFAQ,22-Dec-2022,10.02,10.02,10.02,10.02,115
AFAQU,22-Dec-2022,9.6,10.5,9.6,9.9,1900
AFAQW,22-Dec-2022,0.03,0.03,0.0036,0.0053,101900
AFAR,22-Dec-2022,10.22,10.23,10.22,10.22,448127
AFBI,22-Dec-2022,14.35,14.55,14.35,14.54,2496
AFCG,22-Dec-2022,16.6,16.6,16.17,16.44,119887
AFIB,22-Dec-2022,0.85,1.01,0.85,1.01,303526
AFMD,22-Dec-2022,1.19,1.2,1.14,1.17,923581
AFRI,22-Dec-2022,11.02,11.7,11.02,11.7,1729
AFRIW,22-Dec-2022,0.6,0.6,0.55,0.56,23750
AFRM,22-Dec-2022,9.36,9.36,8.62,9.15,14614789
AFYA,22-Dec-2022,15.57,15.57,15.08,15.35,286294
AGAE,22-Dec-2022,0.96,1,0.96,0.96,70299
AGBA,22-Dec-2022,1.95,2.12,1.85,2.09,32269
AGBAW,22-Dec-2022,0.058,0.0622,0.058,0.058,8000
AGEN,22-Dec-2022,2.42,2.57,2.38,2.56,2787007
AGFS,22-Dec-2022,2.95,2.96,2.94,2.95,209981
AGFY,22-Dec-2022,0.36,0.37,0.31,0.34,2703549
AGGR,22-Dec-2022,10.07,10.08,10.07,10.08,25205
AGIL,22-Dec-2022,4.15,4.15,4.05,4.09,4832
AGIO,22-Dec-2022,28.08,28.55,27.52,28.48,396116
AGLE,22-Dec-2022,0.35,0.37,0.34,0.35,195683
AGMH,22-Dec-2022,1.53,1.66,1.53,1.64,36043
AGNC,22-Dec-2022,10.59,10.67,10.33,10.65,12647908
AGNCL,22-Dec-2022,22.18,22.24,22,22.24,34573
AGNCM,22-Dec-2022,20.41,20.63,19.9,20.1,78564
AGNCN,22-Dec-2022,25.35,25.38,25.21,25.26,36042
AGNCO,22-Dec-2022,20.77,20.89,20.41,20.52,99317
AGNCP,22-Dec-2022,19.83,19.95,19.73,19.75,60511
AGNG,22-Dec-2022,26.08,26.23,25.67,26.23,4024
AGRI,22-Dec-2022,1.15,1.17,1.08,1.09,89984
AGRX,22-Dec-2022,0.187,0.205,0.18,0.2023,773247
AGYS,22-Dec-2022,79.06,79.17,76.58,77.88,70885
AGZD,22-Dec-2022,43.74,43.74,43.52,43.69,279662
AHCO,22-Dec-2022,19.04,19.52,18.96,19.48,705137
AHG,22-Dec-2022,0.38,0.42,0.2,0.39,39136
