Symbol,Date,Open,High,Low,Close,Volume
AACG,04-Jan-2023,1.28,1.28,1.25,1.27,1300
AACI,04-Jan-2023,10.13,10.14,10.13,10.14,7200
AACIU,04-Jan-2023,10.12,10.12,10.12,10.12,0
AACIW,04-Jan-2023,0.05,0.05,0.015,0.015,2700
AADI,04-Jan-2023,12.35,12.71,12.335,12.67,57800
AADR,04-Jan-2023,47.32,47.53,47.31,47.53,700
AAL,04-Jan-2023,12.86,13.61,12.86,13.59,34359000
AAME,04-Jan-2023,2.35,2.49,2.35,2.43,2800
AAOI,04-Jan-2023,1.9,1.95,1.88,1.92,114800
AAON,04-Jan-2023,75.25,75.57,70.46,71.67,303400
AAPB,04-Jan-2023,14.84,14.84,14.44,14.6413,5500
AAPD,04-Jan-2023,30.93,31.35,30.5,31.0839,200600
AAPL,04-Jan-2023,126.89,128.6557,125.08,126.36,89113600
AAPU,04-Jan-2023,16.07,16.3604,15.71,15.98,101800
AAWW,04-Jan-2023,101.1,101.5,101.1,101.28,228300
AAXJ,04-Jan-2023,67.05,67.97,66.71,67.92,515200
ABCB,04-Jan-2023,46.66,47.36,46.21,46.49,232500
ABCL,04-Jan-2023,9.58,9.6,9.25,9.37,1455700
ABCM,04-Jan-2023,15.54,17.01,15.54,17,594200
ABEO,04-Jan-2023,2.85,3.08,2.82,3.06,170100
ABGI,04-Jan-2023,10.09,10.1,10.09,10.09,32900
ABIO,04-Jan-2023,2.44,2.48,2.4,2.47,53000
ABNB,04-Jan-2023,85.89,88.84,84.79,88.72,4817000
ABOS,04-Jan-2023,5.19,5.57,5.19,5.46,42500
ABSI,04-Jan-2023,2.26,2.47,2.19,2.46,427700
ABST,04-Jan-2023,10.92,11.16,10.92,11.08,47000
ABUS,04-Jan-2023,2.28,2.28,2.22,2.26,383500
ABVC,04-Jan-2023,0.6,0.62,0.6,0.62,21500
ACAB,04-Jan-2023,10.2,10.2,10.2,10.2,0
ACABU,04-Jan-2023,10.18,10.18,10.18,10.18,0
ACABW,04-Jan-2023,0.045,0.052,0.045,0.05,120700
ACAC,04-Jan-2023,10.23,10.25,10.23,10.24,279500
ACACU,04-Jan-2023,10.35,10.4,10.3,10.3,4800
ACAD,04-Jan-2023,16.4,17.12,16.4,17.1,1319600
ACAH,04-Jan-2023,10.025,10.03,10.02,10.025,133600
ACAHU,04-Jan-2023,10.02,10.02,10.02,10.02,0
ACAHW,04-Jan-2023,0.05,0.05,0.05,0.05,200
ACAX,04-Jan-2023,10.07,10.07,10.05,10.05,20700
ACB,04-Jan-2023,0.912,0.9699,0.904,0.9527,6255100
ACBA,04-Jan-2023,11,11.77,10.65,10.7,3400
ACBAU,04-Jan-2023,10.72,10.72,10.72,10.72,0
ACBAW,04-Jan-2023,0.0451,0.0451,0.045,0.045,20000
ACCD,04-Jan-2023,7.43,7.83,7.25,7.8,697100
ACDC,04-Jan-2023,20.65,21.32,19.8315,21.14,414600
ACDCW,04-Jan-2023,0.03,0.0301,0.03,0.0301,900
ACER,04-Jan-2023,2.62,2.745,2.511,2.68,482500
ACET,04-Jan-2023,8.72,8.77,8.16,8.5,764800
ACGL,04-Jan-2023,62.87,63.125,62.37,62.77,1870700
ACGLN,04-Jan-2023,17.8,18.47,17.8,18.3,37500
ACGLO,04-Jan-2023,20.65,21.1,20.575,21.08,15100
ACHC,04-Jan-2023,81.7,82.79,80.72,82.75,481800
ACHL,04-Jan-2023,1.07,1.11,1,1.1,1231300
