Symbol,Date,Open,High,Low,Close,Volume
AACG,27-Dec-2022,1.4046,1.4046,1.35,1.36,6000
AACI,27-Dec-2022,10.06,10.06,10.06,10.06,100
AACIW,27-Dec-2022,0.0301,0.0301,0.0301,0.0301,0
AADI,27-Dec-2022,12.51,12.51,11.95,11.99,73100
AADR,27-Dec-2022,47.47,47.8,47.47,47.64,7000
AAL,27-Dec-2022,12.62,12.79,12.395,12.53,18878200
AAME,27-Dec-2022,2.35,2.42,2.35,2.395,5900
AAOI,27-Dec-2022,1.87,1.93,1.8,1.83,203900
AAON,27-Dec-2022,76.14,77.32,74.05,76.9,136000
AAPB,27-Dec-2022,15.26,15.52,15.26,15.51,2000
AAPD,27-Dec-2022,29.94,30.52,29.94,30.26,198300
AAPL,27-Dec-2022,131.38,131.41,128.72,130.03,69007800
AAPU,27-Dec-2022,16.98,16.98,16.49,16.73,60000
AATC,27-Dec-2022,3.78,3.9399,3.78,3.86,77400
AAWW,27-Dec-2022,100.72,100.89,100.59,100.83,259900
AAXJ,27-Dec-2022,65.38,66.052,65.13,65.76,350000
ABCB,27-Dec-2022,47.96,48.37,47.67,47.96,169100
ABCL,27-Dec-2022,10.44,10.44,9.435,9.48,1573800
ABCM,27-Dec-2022,15.45,15.9,15.375,15.79,278100
ABEO,27-Dec-2022,2.51,2.52,2.34,2.41,398700
ABGI,27-Dec-2022,10.07,10.07,10.07,10.07,0
ABIO,27-Dec-2022,2.37,2.37,2.22,2.29,34300
ABNB,27-Dec-2022,84.78,84.93,82.83,83.49,3982400
ABOS,27-Dec-2022,5.28,5.28,4.96,5.07,59900
ABSI,27-Dec-2022,2.2,2.27,1.94,2,512700
ABST,27-Dec-2022,9.67,9.775,9.614,9.67,27600
ABUS,27-Dec-2022,2.39,2.39,2.26,2.33,1243300
ABVC,27-Dec-2022,0.69,0.69,0.65,0.65,8600
ACAB,27-Dec-2022,10.17,10.18,10.17,10.18,4700
ACABU,27-Dec-2022,10.14,10.14,10.14,10.14,0
ACABW,27-Dec-2022,0.0145,0.062,0.0145,0.062,1200
ACAC,27-Dec-2022,10.19,10.55,10.15,10.26,111700
ACACU,27-Dec-2022,10.17,10.2,10.17,10.2,2700
ACAD,27-Dec-2022,15.51,15.605,15.26,15.3,709600
ACAH,27-Dec-2022,9.97,10.015,9.97,10.01,42600
ACAHU,27-Dec-2022,9.99,10.01,9.9899,10.01,12000
ACAHW,27-Dec-2022,0.015,0.0449,0.015,0.0449,3000
ACAX,27-Dec-2022,10.02,10.02,10.02,10.02,0
ACAXW,27-Dec-2022,0.0775,0.0775,0.0775,0.0775,4900
ACB,27-Dec-2022,0.9225,0.93,0.8521,0.8615,7252500
ACBA,27-Dec-2022,10.63,10.63,10.63,10.63,0
ACBAU,27-Dec-2022,10.61,10.61,10.61,10.61,0
ACBAW,27-Dec-2022,0.0311,0.0311,0.0311,0.0311,500
ACCD,27-Dec-2022,8.26,8.26,7.18,7.19,755900
ACDC,27-Dec-2022,25.7,26.23,24.83,25.02,637500
ACDCW,27-Dec-2022,0.0429,0.0429,0.037,0.0422,3700
ACER,27-Dec-2022,3.6,3.61,2.3,2.48,2925200
ACET,27-Dec-2022,7.91,8.04,7.58,7.72,481100
ACGL,27-Dec-2022,63.38,63.875,63.12,63.62,666700
ACGLN,27-Dec-2022,18.57,18.68,18.17,18.41,33100
ACGLO,27-Dec-2022,20.84,20.8426,20.52,20.52,43200
ACHC,27-Dec-2022,82.9,83.44,82.39,82.58,239700
ACHL,27-Dec-2022,0.82,0.835,0.79,0.8,597900
ACHV,27-Dec-2022,2.43,2.54,2.42,2.42,64500
ACIU,27-Dec-2022,1.76,1.885,1.6949,1.74,706900
ACIW,27-Dec-2022,21.9,22.28,21.695,22.26,902500
ACLS,27-Dec-2022,79.97,80.19,78.59,79.22,178500
ACLX,27-Dec-2022,31.32,31.5744,29.29,29.62,336600
ACMR,27-Dec-2022,7.43,7.44,7.16,7.2,512900
ACNB,27-Dec-2022,40.36,40.36,40.36,40.36,2100
ACNT,27-Dec-2022,8.52,8.61,8.38,8.48,76800
ACON,27-Dec-2022,0.47,0.47,0.38,0.3901,74400
ACONW,27-Dec-2022,0.2098,0.2299,0.1499,0.15,1700
ACOR,27-Dec-2022,0.58,0.65,0.557,0.6196,366200
ACQR,27-Dec-2022,10.07,10.07,10.065,10.07,18800
ACQRU,27-Dec-2022,10.08,10.08,10.08,10.08,0
ACQRW,27-Dec-2022,0.02,0.02,0.01,0.01,80100
ACRS,27-Dec-2022,15.12,15.65,14.975,15.03,182100
ACRV,27-Dec-2022,11.62,11.62,11.5,11.5,800
ACRX,27-Dec-2022,1.99,2.08,1.91,2,344700
ACST,27-Dec-2022,0.5162,0.5162,0.46,0.4771,245600
ACT,27-Dec-2022,24.27,24.37,24.075,24.12,52400
ACTG,27-Dec-2022,3.99,4.125,3.94,4.105,246800
ACVA,27-Dec-2022,7.66,7.8,7.33,7.61,1182400
ACWI,27-Dec-2022,85.15,85.35,84.685,85.03,4102200
ACWX,27-Dec-2022,45.76,46.025,45.73,45.88,4408900
ACXP,27-Dec-2022,3.875,4.3,3.875,4.17,60100
ADAG,27-Dec-2022,1.22,1.28,1.12,1.16,61500
ADAL,27-Dec-2022,10.24,10.24,10.24,10.24,0
ADALU,27-Dec-2022,10.2,10.2,10.2,10.2,0
ADALW,27-Dec-2022,0.13,0.13,0.13,0.13,0
ADAP,27-Dec-2022,1.39,1.4,1.29,1.32,534100
ADBE,27-Dec-2022,338,338.16,332.46,335.09,1464300
ADD,27-Dec-2022,0.73,0.85,0.723,0.83,274600
ADEA,27-Dec-2022,9.47,9.6,9.32,9.49,306500
ADER,27-Dec-2022,10.14,10.15,10.13,10.13,5500
ADERU,27-Dec-2022,10.21,10.21,10.21,10.21,0
ADERW,27-Dec-2022,0.2895,0.2895,0.2895,0.2895,0
ADES,27-Dec-2022,2.27,2.3481,2.2,2.22,48100
ADI,27-Dec-2022,163.57,163.7,161.15,162.2,1932000
ADIL,27-Dec-2022,0.2432,0.2507,0.2125,0.2203,379800
ADILW,27-Dec-2022,0.02,0.02,0.02,0.02,3000
ADMA,27-Dec-2022,3.68,3.7,3.59,3.63,1638500
ADMP,27-Dec-2022,0.1355,0.169,0.1355,0.1544,421100
ADN,27-Dec-2022,1.8,1.8,1.675,1.71,362300
ADNWW,27-Dec-2022,0.18,0.19,0.1712,0.1825,80200
ADOC,27-Dec-2022,10.49,10.49,10.49,10.49,0
ADOCR,27-Dec-2022,0.1,0.1,0.1,0.1,0
ADOCW,27-Dec-2022,0.0395,0.0395,0.0395,0.0395,1200
ADP,27-Dec-2022,241.37,242.185,239.34,241.03,926700
ADPT,27-Dec-2022,7.47,7.52,6.86,7.15,1229800
ADRE,27-Dec-2022,37.5,37.8303,37.5,37.67,5100
ADSE,27-Dec-2022,3.22,3.3899,2.89,3.11,69200
ADSEW,27-Dec-2022,0.24,0.24,0.18,0.18,20500
ADSK,27-Dec-2022,188.07,188.07,185.3,186.29,914100
ADTH,27-Dec-2022,1.6,1.6,1.51,1.52,50800
ADTHW,27-Dec-2022,0.09,0.09,0.09,0.09,0
ADTN,27-Dec-2022,18.76,18.77,18.45,18.54,253500
ADTX,27-Dec-2022,1.11,1.11,1.02,1.05,97100
ADUS,27-Dec-2022,101.46,101.63,98.14,98.34,71000
ADV,27-Dec-2022,1.9,1.93,1.83,1.91,290400
ADVM,27-Dec-2022,0.556,0.58,0.531,0.54,2479500
ADVWW,27-Dec-2022,0.111,0.111,0.1004,0.1004,140100
ADXN,27-Dec-2022,0.59,0.63,0.57,0.5997,56700
AEAC,27-Dec-2022,10.09,10.1,10.08,10.095,31700
AEACU,27-Dec-2022,10.09,10.11,10.08,10.11,56400
AEACW,27-Dec-2022,0.003,0.003,0.003,0.003,0
AEAE,27-Dec-2022,10.155,10.17,10.155,10.17,7100
AEAEU,27-Dec-2022,10.2,10.2,10.2,10.2,0
AEAEW,27-Dec-2022,0.06,0.0986,0.04,0.0986,84000
AEHA,27-Dec-2022,10.38,10.39,10.38,10.39,1700
