Symbol,Date,Open,High,Low,Close,Volume
AACG,29-Dec-2022,1.45,1.4986,1.2412,1.35,26500
AACI,29-Dec-2022,10.1,10.1,10.1,10.1,0
AACIU,29-Dec-2022,10.12,10.12,10.12,10.12,0
AACIW,29-Dec-2022,0.031,0.031,0.031,0.031,0
AADI,29-Dec-2022,12.02,12.68,12.02,12.58,72600
AADR,29-Dec-2022,47.83,47.85,47.6501,47.76,800
AAL,29-Dec-2022,12.39,12.71,12.295,12.7,19706200
AAME,29-Dec-2022,2.34,2.345,2.18,2.18,9000
AAOI,29-Dec-2022,1.73,1.98,1.73,1.9,280900
AAON,29-Dec-2022,76.21,77.19,75.882,76.85,188600
AAPB,29-Dec-2022,15.2,15.4,15.19,15.39,3500
AAPD,29-Dec-2022,30.71,30.75,30.1,30.2932,273200
AAPL,29-Dec-2022,127.99,130.4814,127.73,129.61,75703700
AAPU,29-Dec-2022,16.32,16.75,16.32,16.62,132200
AATC,29-Dec-2022,3.79,3.8499,3.63,3.63,156500
AAWW,29-Dec-2022,101.06,101.23,100.52,100.89,288700
AAXJ,29-Dec-2022,65.01,65.775,65.01,65.72,434600
ABCB,29-Dec-2022,47.06,47.665,46.64,47.32,236400
ABCL,29-Dec-2022,9.67,10.14,9.51,10.05,1634800
ABCM,29-Dec-2022,15.62,15.95,15.5,15.54,253600
ABEO,29-Dec-2022,2.37,2.915,2.36,2.82,1376000
ABGI,29-Dec-2022,10.07,10.07,10.07,10.07,0
ABIO,29-Dec-2022,2.4,2.43,2.3501,2.43,104800
ABNB,29-Dec-2022,82.97,85.56,82.29,85.23,4031300
ABOS,29-Dec-2022,4.8,5.467,4.73,5.37,55300
ABSI,29-Dec-2022,2.12,2.39,2.1,2.24,606600
ABST,29-Dec-2022,9.51,10.04,9.51,9.96,41200
ABUS,29-Dec-2022,2.22,2.3382,2.22,2.32,825500
ABVC,29-Dec-2022,0.64,0.6567,0.63,0.635,18000
ACAB,29-Dec-2022,10.24,10.24,10.24,10.24,200
ACABU,29-Dec-2022,10.98,10.98,10.3,10.3,400
ACABW,29-Dec-2022,0.062,0.062,0.062,0.062,0
ACAC,29-Dec-2022,10.26,10.29,10.26,10.28,4100
ACACU,29-Dec-2022,10.25,11.41,10.25,10.34,5300
ACAD,29-Dec-2022,15.44,16.2,15.25,15.95,1005300
ACAH,29-Dec-2022,10.02,10.02,10.01,10.02,100300
ACAHU,29-Dec-2022,10.01,10.01,10.01,10.01,1300
ACAHW,29-Dec-2022,0.0449,0.0449,0.0449,0.0449,0
ACAX,29-Dec-2022,10.05,10.05,10.05,10.05,0
ACB,29-Dec-2022,0.84,0.9022,0.835,0.9022,5589000
ACBA,29-Dec-2022,10.5101,11.09,10.5101,11.05,2600
